url,tipo,categoria,titulo,fuente,fecha_captura,estado,contenido_recuperable,imagenes_disponibles,prioridad,observaciones
https://carroselectricosdegolf.com/,home,,Carros eléctricos de golf | Carros Eléctricos de Golf - Greencar,google+duckduckgo,2026-08-12 (indexación vigente),solo_indexado,titulo+snippet,no,critica,Home canónica sin www según índice de Google
https://carroselectricosdegolf.com/inicio-2/,home,,Carros eléctricos de golf | Carros Eléctricos de Golf - Greencar,duckduckgo+google,2026-08-12,solo_indexado,titulo+snippet,no,media,Página duplicada de la home (slug típico de constructor WP); snippet menciona garantía satisfacción 100% y devoluciones 15 días
https://carroselectricosdegolf.com/tienda/,pagina,tienda,,duckduckgo,2026-08-12,solo_indexado,solo URL,no,critica,Página de tienda WooCommerce (shop)
https://carroselectricosdegolf.com/tienda/page/2/,pagina,tienda,,duckduckgo,2026-08-12,solo_indexado,solo URL,no,alta,Paginación de la tienda ⇒ el catálogo superaba una página (>8-12 productos visibles)
https://carroselectricosdegolf.com/carros-de-golf/,categoria,carros,Carros de golf - Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,critica,Categoría/landing de carros; snippet muestra precios desde 395,00€ y 610,00€
https://carroselectricosdegolf.com/sobre-nosotros/,pagina,corporativa,Sobre nosotros | GREENCAR - Carros Eléctricos de Golf,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,Snippet: tienda online nueva; diseño y fabricación en España; postventa con gran stock de recambios
https://carroselectricosdegolf.com/contacto/,contacto,corporativa,Contacto Greencar - Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,greencar@greencar.es · (+34) 606 375 645 · envíos 24-48h España · cláusula RGPD visible en snippet
https://carroselectricosdegolf.com/blog/,blog,,,duckduckgo,2026-08-12,solo_indexado,solo URL,no,media,Existía blog; sin artículos individuales localizados aún en índices
https://carroselectricosdegolf.com/producto/greencaddy-classic/,producto,carros,Greencaddy Classic | Carros Eléctricos de Golf - Greencar,google+duckduckgo,2026-08-12,solo_indexado,titulo+snippet,no,critica,Carro plegable; display digital; garantía 3 años (1 año batería); accesorios incluidos: soporte paraguas + portatarjetas/portabolas + funda de viaje; conector Anderson
https://carroselectricosdegolf.com/producto/greencaddy-superior/,producto,carros,Greencaddy Superior | Carros Eléctricos de Golf - Greencar,google+duckduckgo,2026-08-12,solo_indexado,titulo+snippet,no,critica,Carro negro plegable; patentes propias; diseño origen Barcelona 92; hierro tratado; motor 200W silencioso
https://carroselectricosdegolf.com/producto/greencaddy-pro-sport/,producto,carros,Greencaddy Pro Sport | Carros Eléctricos de Golf - Greencar,google+duckduckgo,2026-08-12,solo_indexado,titulo,no,critica,Modelo Pro Sport
https://carroselectricosdegolf.com/producto/greencaddy-pro-sport-blanco-rojo/,producto,carros,,duckduckgo,2026-08-12,solo_indexado,solo URL,no,alta,Variante de color Blanco/Rojo publicada como producto separado
https://carroselectricosdegolf.com/producto/greencaddy-pro-sport-blanco-amarillo-copia/,producto,carros,,duckduckgo,2026-08-12,solo_indexado,solo URL,no,alta,Variante Blanco/Amarillo; slug con sufijo -copia (producto duplicado en WooCommerce)
https://carroselectricosdegolf.com/producto/bateria-de-litio-sin-cargador/,producto,accesorios,Batería de litio 12V 20Ah SIN cargador | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,12V 20Ah; sin cargador; vida útil 2000-3000 ciclos
https://carroselectricosdegolf.com/producto/cargador-de-bateria-de-litio/,producto,accesorios,Cargador de batería de litio | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,Cargador individual con conector Anderson
https://carroselectricosdegolf.com/producto/rueda-maciza/,producto,accesorios,Rueda maciza | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,Ruedas macizas resistentes; pasador estándar compatible con cualquier carro
https://carroselectricosdegolf.com/producto/portatarjetas-y-portabolas/,producto,accesorios,Portatarjetas y portabolas | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,Accesorio universal
https://carroselectricosdegolf.com/producto/soporte-movil-o-gps/,producto,accesorios,Soporte móvil o GPS | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo+snippet,no,alta,Accesorio universal
https://carroselectricosdegolf.com/producto/funda-de-viaje/,producto,accesorios,Funda de viaje | Carros Eléctricos de Golf - Greencar,google,2026-08-12,solo_indexado,titulo,no,alta,Accesorio
